start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,15,10,,1.5134,-0.0038,398.2631578947369
2017-03-01,2017-03-31,16,1,15,10,,-0.0087,-0.0257,-0.3385214007782101
2017-04-03,2017-04-28,17,1,10,10,mi,-0.2449,-0.0205,-11.946341463414633
2017-05-01,2017-05-31,16,1,15,10,,0.2103,-0.0178,11.814606741573034
2017-06-01,2017-06-30,16,1,15,10,mi,-0.0641,-0.0268,-2.3917910447761193
2017-07-03,2017-07-31,16,1,15,10,,-0.1404,-0.0217,-6.470046082949309
2017-08-01,2017-08-31,17,1,15,10,mi,0.0121,-0.0229,0.5283842794759825
2017-09-01,2017-09-29,16,1,10,10,mi,-0.0574,-0.0158,-3.632911392405063
2017-10-02,2017-10-31,16,1,15,10,mi,0.2769,-0.022,12.586363636363636
2017-11-01,2017-11-30,16,1,15,10,mi,0.7719,-0.009,85.76666666666668
2017-12-01,2017-12-29,16,1,10,10,mi,-0.0846,-0.0167,-5.065868263473054
2018-01-02,2018-01-31,16,1,10,10,mi,1.2927,-0.0139,93.0
2018-02-01,2018-02-28,16,1,10,10,mi,-0.4917,-0.0637,-7.7189952904238615
2018-03-01,2018-03-29,16,1,10,10,mi,-0.015,-0.0529,-0.2835538752362949
2018-04-02,2018-04-30,16,1,10,10,mi,0.6676,-0.0257,25.97665369649805
2018-05-01,2018-05-31,16,1,15,10,mi,0.3397,-0.0225,15.097777777777779
2018-06-01,2018-06-29,17,1,10,10,mi,0.0624,-0.0271,2.302583025830258
2018-07-02,2018-07-31,16,1,10,10,mi,0.5966,-0.0115,51.87826086956522
2018-08-01,2018-08-31,17,1,10,10,mi,0.6157,-0.0272,22.636029411764707
2018-09-04,2018-09-28,16,1,15,10,mi,-0.0527,-0.0289,-1.8235294117647058
2018-10-01,2018-10-31,17,1,10,10,mi,-0.6219,-0.1048,-5.934160305343512
2018-11-01,2018-11-30,16,1,10,10,mi,0.2349,-0.0406,5.7857142857142865
2018-12-03,2018-12-31,16,1,10,10,mi,-0.6618,-0.1289,-5.13421256788208
2019-01-02,2019-01-31,16,1,15,10,mi,3.7805,-0.0159,237.76729559748426
2019-02-01,2019-02-28,16,1,15,10,,0.2863,-0.0141,20.30496453900709
2019-03-01,2019-03-29,16,1,15,10,mi,-0.0663,-0.1146,-0.5785340314136126
2019-04-01,2019-04-30,16,1,15,10,mi,1.0757,-0.0206,52.21844660194175
2019-05-01,2019-05-31,16,1,15,10,mi,-0.642,-0.1086,-5.911602209944752
2019-06-03,2019-06-28,16,1,15,10,mi,2.9012,-0.0208,139.48076923076923
2019-07-01,2019-07-31,16,1,10,10,mi,-0.1218,-0.0338,-3.6035502958579886
2019-08-01,2019-08-30,16,1,10,10,mi,-0.3986,-0.0697,-5.718794835007174
2019-09-03,2019-09-30,16,1,10,10,mi,0.3831,-0.0397,9.649874055415617
2019-10-01,2019-10-31,16,1,15,10,mi,0.5006,-0.0325,15.403076923076924
2019-11-01,2019-11-29,16,1,15,10,mi,0.0616,-0.0194,3.1752577319587627
2019-12-02,2019-12-31,16,1,10,10,mi,0.2445,-0.0139,17.58992805755396
2020-01-02,2020-01-31,16,1,10,10,mi,0.0244,-0.0307,0.7947882736156352
2020-02-03,2020-02-28,16,1,15,10,,-0.7914,-0.1375,-5.755636363636363
2020-03-02,2020-03-31,16,1,15,10,mi,-0.9939,-0.4196,-2.3686844613918017
2020-04-01,2020-04-30,16,1,10,10,mi,86.1598,-0.0477,1806.2851153039833
2020-05-01,2020-05-29,17,1,15,10,mi,2.6455,-0.0972,27.217078189300416
2020-06-01,2020-06-30,17,1,15,10,mi,0.635,-0.251,2.5298804780876494
2020-07-01,2020-07-31,16,1,15,10,mi,0.4122,-0.0496,8.310483870967742
2020-08-03,2020-08-31,16,1,15,10,mi,1.1453,-0.0078,146.83333333333334
2020-09-01,2020-09-30,16,1,15,10,mi,-0.1958,-0.0808,-2.4232673267326734
2020-10-01,2020-10-30,16,1,15,10,mi,0.2784,-0.0636,4.377358490566037
2020-11-02,2020-11-30,16,1,15,10,mi,10.4884,-0.0559,187.62790697674419
2020-12-01,2020-12-31,16,1,15,10,mi,1.3259,-0.0268,49.473880597014926
2021-01-04,2021-01-29,16,1,15,10,mi,0.1779,-0.0511,3.4814090019569472
2021-02-01,2021-02-26,16,1,15,10,mi,1.435,-0.0342,41.95906432748538
2021-03-01,2021-03-31,16,1,10,10,mi,1.7878,-0.0307,58.23452768729641
2021-04-01,2021-04-30,16,1,10,10,mi,1.32,-0.0146,90.41095890410959
2021-05-03,2021-05-28,16,1,15,10,mi,0.0756,-0.0572,1.3216783216783217
2021-06-01,2021-06-30,16,1,10,10,mi,-0.1493,-0.0478,-3.123430962343096
2021-07-01,2021-07-30,16,1,10,10,mi,-0.4798,-0.0791,-6.065739570164348
2021-08-02,2021-08-31,17,1,15,10,mi,0.8748,-0.0718,12.18384401114206
2021-09-01,2021-09-30,16,1,10,10,mi,0.7059,-0.0291,24.257731958762886
2021-10-01,2021-10-29,16,1,15,10,mi,0.0283,-0.0231,1.225108225108225
2021-11-01,2021-11-30,16,1,15,10,mi,-0.535,-0.0911,-5.872667398463228
2021-12-01,2021-12-31,16,1,10,10,mi,1.3995,-0.0536,26.11007462686567
2022-01-03,2022-01-31,16,1,15,10,mi,-0.5017,-0.0905,-5.54364640883978
2022-02-01,2022-02-28,16,1,10,10,mi,-0.2121,-0.0985,-2.153299492385787
2022-03-01,2022-03-30,16,1,10,10,mi,1.4465,-0.0498,29.046184738955823
