start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,15,10,,0.0546,-0.0265,2.060377358490566
2017-03-01,2017-03-31,16,1,15,10,mi,-0.0385,-0.0283,-1.3604240282685514
2017-04-03,2017-04-28,16,1,15,10,mi,0.323,-0.0061,52.950819672131146
2017-05-01,2017-05-31,16,1,15,10,mi,-0.3891,-0.0514,-7.570038910505836
2017-06-01,2017-06-30,16,1,10,10,mi,0.0958,-0.0273,3.5091575091575087
2017-07-03,2017-07-31,16,1,10,10,,-0.3025,-0.0273,-11.08058608058608
2017-08-01,2017-08-31,17,1,15,10,mi,-0.0255,-0.0366,-0.6967213114754098
2017-09-01,2017-09-29,17,1,10,10,mi,-0.5263,-0.0585,-8.996581196581197
2017-10-02,2017-10-31,16,1,15,10,,-0.2537,-0.0299,-8.48494983277592
2017-11-01,2017-11-30,16,1,15,10,,0.5698,-0.019,29.989473684210527
2017-12-01,2017-12-29,16,1,15,10,,-0.2276,-0.0259,-8.787644787644787
2018-01-02,2018-01-31,16,1,10,10,mi,-0.2069,-0.0303,-6.8283828382838285
2018-02-01,2018-02-28,16,1,15,10,,-0.317,-0.051,-6.215686274509804
2018-03-01,2018-03-29,16,1,15,10,mi,0.1681,-0.0714,2.3543417366946775
2018-04-02,2018-04-30,16,1,15,10,,-0.1497,-0.0363,-4.12396694214876
2018-05-01,2018-05-31,17,1,10,10,mi,-0.0988,-0.0257,-3.844357976653696
2018-06-01,2018-06-29,16,1,10,10,,0.1573,-0.01,15.729999999999999
2018-07-02,2018-07-31,16,1,15,10,,-0.0927,-0.029,-3.196551724137931
2018-08-01,2018-08-31,16,1,10,10,,-0.1959,-0.0531,-3.6892655367231635
2018-09-04,2018-09-28,17,1,15,10,mi,0.0754,-0.0263,2.8669201520912546
2018-10-01,2018-10-31,16,1,15,10,,-0.671,-0.1151,-5.82971329278888
2018-11-01,2018-11-30,16,1,15,10,mi,-0.4881,-0.0886,-5.50902934537246
2018-12-03,2018-12-31,16,1,15,10,,-0.751,-0.1546,-4.857697283311773
2019-01-02,2019-01-31,16,1,15,10,mi,3.769,-0.0115,327.7391304347826
2019-02-01,2019-02-28,16,1,15,10,,0.1464,-0.0334,4.383233532934132
2019-03-01,2019-03-29,16,1,15,10,,-0.3539,-0.0554,-6.388086642599278
2019-04-01,2019-04-30,16,1,10,10,mi,-0.0723,-0.0283,-2.554770318021202
2019-05-01,2019-05-31,16,1,10,10,,-0.6923,-0.1075,-6.44
2019-06-03,2019-06-28,16,1,10,10,mi,0.9372,-0.0228,41.10526315789474
2019-07-01,2019-07-31,16,1,10,10,,-0.363,-0.0502,-7.231075697211155
2019-08-01,2019-08-30,16,1,15,10,mi,-0.326,-0.0647,-5.038639876352397
2019-09-03,2019-09-30,16,1,10,10,mi,0.1695,-0.0663,2.556561085972851
2019-10-01,2019-10-31,16,1,10,10,,0.2721,-0.0424,6.4174528301886795
2019-11-01,2019-11-29,16,1,10,10,,0.0584,-0.0138,4.231884057971015
2019-12-02,2019-12-31,16,1,10,10,mi,2.1956,-0.0248,88.53225806451614
2020-01-02,2020-01-31,16,1,10,10,,-0.4951,-0.0752,-6.5837765957446805
2020-02-03,2020-02-28,16,1,10,10,mi,-0.5773,-0.1192,-4.843120805369128
2020-03-02,2020-03-31,16,1,10,10,,-0.9444,-0.3287,-2.873136598722239
2020-04-01,2020-04-30,16,1,10,10,mi,7.2623,-0.0914,79.4562363238512
2020-05-01,2020-05-29,16,1,10,10,,1.8968,-0.0893,21.240761478163492
2020-06-01,2020-06-30,16,1,10,10,,-0.1222,-0.165,-0.7406060606060606
2020-07-01,2020-07-31,16,1,10,10,,0.3291,-0.0592,5.559121621621621
2020-08-03,2020-08-31,17,1,10,10,mi,0.1044,-0.0436,2.3944954128440368
2020-09-01,2020-09-30,16,1,10,10,,-0.2525,-0.0835,-3.023952095808383
2020-10-01,2020-10-30,17,1,15,10,mi,-0.0237,-0.0748,-0.3168449197860962
2020-11-02,2020-11-30,16,1,15,10,,4.2246,-0.036,117.35
2020-12-01,2020-12-31,16,1,10,10,,0.4149,-0.0477,8.69811320754717
2021-01-04,2021-01-29,16,1,10,10,,-0.1727,-0.097,-1.7804123711340205
2021-02-01,2021-02-26,16,1,10,10,mi,-0.6574,-0.0827,-7.949214026602177
2021-03-01,2021-03-31,16,1,10,10,,0.3201,-0.0358,8.941340782122905
2021-04-01,2021-04-30,16,1,15,10,mi,-0.0986,-0.0361,-2.7313019390581714
2021-05-03,2021-05-28,16,1,10,10,mi,-0.1073,-0.0535,-2.005607476635514
2021-06-01,2021-06-30,16,1,10,10,,-0.1528,-0.0365,-4.186301369863013
2021-07-01,2021-07-30,17,1,10,10,mi,-0.3079,-0.0293,-10.508532423208191
2021-08-02,2021-08-31,17,1,10,10,mi,-0.1944,-0.0246,-7.902439024390243
2021-09-01,2021-09-30,16,1,10,10,mi,-0.6284,-0.0787,-7.984752223634052
2021-10-01,2021-10-29,17,1,10,10,mi,-0.2524,-0.0344,-7.337209302325582
2021-11-01,2021-11-30,16,1,10,10,,-0.5015,-0.0627,-7.99840510366826
2021-12-01,2021-12-31,17,1,15,10,mi,1.3188,-0.0416,31.701923076923077
2022-01-03,2022-01-31,16,1,10,10,,-0.447,-0.0856,-5.22196261682243
2022-02-01,2022-02-28,16,1,10,10,mi,-0.5082,-0.1961,-2.5915349311575726
2022-03-01,2022-03-30,16,1,10,10,mi,0.5714,-0.0588,9.717687074829932
