start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,,0.2686,-0.0345,7.785507246376811
2017-03-01,2017-03-31,16,1,10,10,mi,-0.2657,-0.0428,-6.207943925233645
2017-04-03,2017-04-28,16,1,15,10,,-0.1512,-0.0143,-10.573426573426573
2017-05-01,2017-05-31,16,1,15,10,mi,0.2043,-0.0311,6.569131832797428
2017-06-01,2017-06-30,16,1,10,10,,-0.016,-0.0208,-0.7692307692307693
2017-07-03,2017-07-31,16,1,10,10,mi,-0.3709,-0.0349,-10.627507163323783
2017-08-01,2017-08-31,16,1,10,10,mi,0.4424,-0.0287,15.414634146341465
2017-09-01,2017-09-29,16,1,10,10,,-0.0277,-0.0123,-2.252032520325203
2017-10-02,2017-10-31,16,1,15,10,,0.1113,-0.0174,6.3965517241379315
2017-11-01,2017-11-30,16,1,10,10,mi,1.0789,-0.0127,84.95275590551181
2017-12-01,2017-12-29,16,1,10,10,,0.0211,-0.0149,1.4161073825503356
2018-01-02,2018-01-31,17,1,10,10,mi,0.6529,-0.0234,27.901709401709404
2018-02-01,2018-02-28,16,1,10,10,mi,-0.3305,-0.0759,-4.35441370223979
2018-03-01,2018-03-29,16,1,15,10,,0.1238,-0.0517,2.3945841392649903
2018-04-02,2018-04-30,16,1,15,10,mi,1.3727,-0.0235,58.41276595744681
2018-05-01,2018-05-31,16,1,10,10,,0.584,-0.02,29.2
2018-06-01,2018-06-29,16,1,10,10,,1.0375,-0.0181,57.32044198895028
2018-07-02,2018-07-31,16,1,15,10,,0.1173,-0.0301,3.897009966777409
2018-08-01,2018-08-31,16,1,10,10,mi,1.1264,-0.0314,35.87261146496816
2018-09-04,2018-09-28,17,1,10,10,mi,0.2136,-0.0167,12.790419161676647
2018-10-01,2018-10-31,17,1,10,10,mi,-0.5818,-0.1144,-5.085664335664336
2018-11-01,2018-11-30,16,1,10,10,,0.5844,-0.0462,12.64935064935065
2018-12-03,2018-12-31,16,1,10,10,,-0.6532,-0.1296,-5.040123456790123
2019-01-02,2019-01-31,16,1,10,10,mi,2.0243,-0.0338,59.89053254437871
2019-02-01,2019-02-28,17,1,10,10,mi,0.0995,-0.0316,3.1487341772151898
2019-03-01,2019-03-29,17,1,10,10,mi,0.1947,-0.0418,4.657894736842106
2019-04-01,2019-04-30,16,1,10,10,,-0.071,-0.0198,-3.585858585858585
2019-05-01,2019-05-31,17,1,15,10,mi,-0.4184,-0.0804,-5.203980099502488
2019-06-03,2019-06-28,16,1,10,10,mi,3.5544,-0.0145,245.1310344827586
2019-07-01,2019-07-31,16,1,10,10,,-0.0019,-0.0185,-0.10270270270270271
2019-08-01,2019-08-30,17,1,15,10,mi,0.1524,-0.0343,4.443148688046648
2019-09-03,2019-09-30,16,1,10,10,,1.2143,-0.0232,52.34051724137931
2019-10-01,2019-10-31,16,1,15,10,mi,-0.0115,-0.0376,-0.3058510638297872
2019-11-01,2019-11-29,16,1,10,10,,0.0147,-0.0163,0.901840490797546
2019-12-02,2019-12-31,16,1,15,10,,0.6412,-0.0113,56.74336283185841
2020-01-02,2020-01-31,16,1,10,10,,-0.0816,-0.0435,-1.8758620689655174
2020-02-03,2020-02-28,16,1,15,10,mi,-0.7194,-0.1227,-5.863080684596577
2020-03-02,2020-03-31,17,1,15,10,mi,-0.9761,-0.3884,-2.5131307929969102
2020-04-01,2020-04-30,16,1,10,10,,7.2886,-0.0794,91.79596977329975
2020-05-01,2020-05-29,16,1,15,10,,1.5425,-0.0992,15.549395161290322
2020-06-01,2020-06-30,17,1,10,10,mi,0.3092,-0.2217,1.39467749210645
2020-07-01,2020-07-31,16,1,15,10,mi,-0.2089,-0.0514,-4.06420233463035
2020-08-03,2020-08-31,16,1,15,10,,0.2149,-0.0404,5.319306930693069
2020-09-01,2020-09-30,17,1,15,10,mi,-0.5216,-0.1035,-5.039613526570048
2020-10-01,2020-10-30,17,1,15,10,mi,-0.4615,-0.1034,-4.463249516441006
2020-11-02,2020-11-30,17,1,15,10,mi,10.3361,-0.0344,300.46802325581393
2020-12-01,2020-12-31,16,1,15,10,,1.4612,-0.0191,76.50261780104712
2021-01-04,2021-01-29,17,1,15,10,mi,1.1123,-0.0437,25.45308924485126
2021-02-01,2021-02-26,16,1,10,10,,2.8103,-0.0281,100.01067615658363
2021-03-01,2021-03-31,16,1,15,10,,0.9229,-0.02,46.145
2021-04-01,2021-04-30,16,1,10,10,mi,0.8233,-0.0125,65.864
2021-05-03,2021-05-28,16,1,15,10,mi,0.198,-0.0427,4.6370023419203745
2021-06-01,2021-06-30,16,1,10,10,,-0.1037,-0.0408,-2.5416666666666665
2021-07-01,2021-07-30,17,1,15,10,mi,-0.3502,-0.094,-3.725531914893617
2021-08-02,2021-08-31,16,1,15,10,mi,0.5375,-0.0809,6.644004944375772
2021-09-01,2021-09-30,16,1,10,10,,-0.1003,-0.0354,-2.8333333333333335
2021-10-01,2021-10-29,17,1,15,10,mi,1.1276,-0.0245,46.02448979591836
2021-11-01,2021-11-30,16,1,15,10,mi,-0.6984,-0.1289,-5.418153607447635
2021-12-01,2021-12-31,16,1,15,10,mi,0.7707,-0.056,13.762500000000001
2022-01-03,2022-01-31,16,1,15,10,,-0.5017,-0.0905,-5.54364640883978
2022-02-01,2022-02-28,16,1,10,10,,-0.0921,-0.0889,-1.0359955005624297
2022-03-01,2022-03-30,16,1,10,10,,1.4465,-0.0498,29.046184738955823
