start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,mi,0.0214,-0.0165,1.2969696969696969
2017-03-01,2017-03-31,17,1,10,10,mi,0.3867,-0.0176,21.971590909090907
2017-04-03,2017-04-28,16,1,10,10,mi,-0.1424,-0.0233,-6.111587982832618
2017-05-01,2017-05-31,17,1,10,10,mi,0.156,-0.022,7.090909090909092
2017-06-01,2017-06-30,16,1,15,10,mi,0.0474,-0.0168,2.8214285714285716
2017-07-03,2017-07-31,16,1,10,10,mi,0.2248,-0.0302,7.443708609271523
2017-08-01,2017-08-31,16,1,10,10,mi,0.527,-0.0179,29.441340782122907
2017-09-01,2017-09-29,16,1,15,10,mi,0.4973,-0.0105,47.36190476190476
2017-10-02,2017-10-31,17,1,10,10,mi,0.5154,-0.0048,107.375
2017-11-01,2017-11-30,16,1,10,10,mi,-0.2,-0.0413,-4.842615012106537
2017-12-01,2017-12-29,17,1,15,10,mi,0.143,-0.0172,8.313953488372093
2018-01-02,2018-01-31,17,1,10,10,mi,0.5996,-0.0243,24.674897119341566
2018-02-01,2018-02-28,17,1,15,10,mi,-0.3731,-0.058,-6.432758620689655
2018-03-01,2018-03-29,17,1,10,10,mi,-0.1362,-0.057,-2.389473684210526
2018-04-02,2018-04-30,17,1,10,10,mi,0.9723,-0.0243,40.01234567901235
2018-05-01,2018-05-31,17,1,10,10,mi,0.678,-0.023,29.47826086956522
2018-06-01,2018-06-29,16,1,10,10,mi,1.2111,-0.039,31.053846153846155
2018-07-02,2018-07-31,16,1,10,10,mi,0.1876,-0.0195,9.62051282051282
2018-08-01,2018-08-31,16,1,15,10,mi,0.1816,-0.0326,5.5705521472392645
2018-09-04,2018-09-28,17,1,15,10,mi,0.2631,-0.0118,22.296610169491526
2018-10-01,2018-10-31,17,1,10,10,mi,-0.1524,-0.0644,-2.366459627329193
2018-11-01,2018-11-30,17,1,15,10,mi,0.4778,-0.0874,5.466819221967963
2018-12-03,2018-12-31,17,1,15,10,mi,-0.8383,-0.1785,-4.696358543417367
