start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,mi,0.1574,-0.0168,9.36904761904762
2017-03-01,2017-03-31,17,1,10,10,mi,0.1048,-0.0236,4.4406779661016955
2017-04-03,2017-04-28,16,1,10,10,mi,-0.0691,-0.0131,-5.274809160305343
2017-05-01,2017-05-31,16,1,10,10,mi,0.0054,-0.0265,0.2037735849056604
2017-06-01,2017-06-30,16,1,15,10,mi,0.0601,-0.0189,3.17989417989418
2017-07-03,2017-07-31,16,1,10,10,mi,0.111,-0.023,4.826086956521739
2017-08-01,2017-08-31,16,1,10,10,,-0.3366,-0.0466,-7.223175965665236
2017-09-01,2017-09-29,17,1,15,10,mi,0.1424,-0.0109,13.064220183486238
2017-10-02,2017-10-31,16,1,10,10,mi,0.1606,-0.0212,7.5754716981132075
2017-11-01,2017-11-30,16,1,10,10,mi,0.2952,-0.0134,22.029850746268657
2017-12-01,2017-12-29,16,1,10,10,mi,0.1962,-0.0107,18.336448598130843
2018-01-02,2018-01-31,16,1,10,10,mi,0.4977,-0.0304,16.371710526315788
2018-02-01,2018-02-28,16,1,15,10,mi,-0.5247,-0.0666,-7.878378378378378
2018-03-01,2018-03-29,16,1,10,10,,0.0041,-0.0548,0.07481751824817519
2018-04-02,2018-04-30,16,1,10,10,,0.4053,-0.0287,14.121951219512194
2018-05-01,2018-05-31,16,1,15,10,mi,-0.0051,-0.0417,-0.1223021582733813
2018-06-01,2018-06-29,16,1,10,10,,0.1139,-0.0347,3.282420749279539
2018-07-02,2018-07-31,16,1,10,10,mi,0.1513,-0.0334,4.529940119760479
2018-08-01,2018-08-31,16,1,10,10,mi,-0.2094,-0.0393,-5.32824427480916
2018-09-04,2018-09-28,16,1,10,10,mi,0.257,-0.0114,22.54385964912281
2018-10-01,2018-10-31,16,1,10,10,mi,-0.5984,-0.1003,-5.966101694915254
2018-11-01,2018-11-30,16,1,10,10,mi,-0.3382,-0.0925,-3.656216216216216
2018-12-03,2018-12-31,16,1,10,10,,-0.7409,-0.1482,-4.9993252361673415
2019-01-02,2019-01-31,16,1,15,10,,4.4402,-0.0283,156.89752650176678
2019-02-01,2019-02-28,16,1,10,10,,0.4645,-0.0136,34.154411764705884
2019-03-01,2019-03-29,16,1,15,10,mi,-0.0262,-0.028,-0.9357142857142857
2019-04-01,2019-04-30,16,1,10,10,mi,-0.004,-0.0456,-0.08771929824561403
2019-05-01,2019-05-31,17,1,15,10,mi,-0.7628,-0.1353,-5.637841832963784
2019-06-03,2019-06-28,17,1,15,10,mi,2.1627,-0.0167,129.50299401197606
2019-07-01,2019-07-31,16,1,10,10,mi,-0.1056,-0.0305,-3.462295081967213
2019-08-01,2019-08-30,16,1,10,10,,0.428,-0.0344,12.441860465116278
2019-09-03,2019-09-30,16,1,10,10,,1.2307,-0.0276,44.59057971014492
2019-10-01,2019-10-31,17,1,15,10,mi,1.8568,-0.0266,69.80451127819549
2019-11-01,2019-11-29,16,1,10,10,,0.1205,-0.0144,8.368055555555555
2019-12-02,2019-12-31,17,1,10,10,mi,1.122,-0.0131,85.64885496183207
2020-01-02,2020-01-31,16,1,15,10,mi,-0.1737,-0.0521,-3.3339731285988483
2020-02-03,2020-02-28,16,1,10,10,mi,-0.7011,-0.1496,-4.686497326203208
2020-03-02,2020-03-31,16,1,15,10,,-0.8637,-0.2813,-3.070387486669037
2020-04-01,2020-04-30,16,1,15,10,mi,7.4483,-0.086,86.60813953488372
2020-05-01,2020-05-29,17,1,15,10,mi,1.3701,-0.0436,31.424311926605508
2020-06-01,2020-06-30,16,1,15,10,mi,0.3079,-0.0709,4.342736248236953
2020-07-01,2020-07-31,17,1,15,10,mi,-0.069,-0.0645,-1.0697674418604652
2020-08-03,2020-08-31,16,1,15,10,mi,0.209,-0.042,4.976190476190475
2020-09-01,2020-09-30,16,1,15,10,mi,-0.4656,-0.0802,-5.805486284289278
2020-10-01,2020-10-30,16,1,10,10,mi,-0.088,-0.0834,-1.05515587529976
2020-11-02,2020-11-30,17,1,10,10,mi,10.5834,-0.0267,396.38202247191003
2020-12-01,2020-12-31,17,1,10,10,mi,0.9505,-0.0331,28.716012084592148
2021-01-04,2021-01-29,16,1,15,10,,0.5158,-0.0897,5.750278706800446
2021-02-01,2021-02-26,16,1,10,10,,0.5374,-0.0271,19.830258302583026
2021-03-01,2021-03-31,16,1,15,10,,1.3882,-0.025,55.528
2021-04-01,2021-04-30,16,1,15,10,,0.3331,-0.0248,13.431451612903226
2021-05-03,2021-05-28,16,1,15,10,,0.0524,-0.0398,1.3165829145728642
2021-06-01,2021-06-30,16,1,15,10,mi,1.0063,-0.0169,59.544378698224854
2021-07-01,2021-07-30,17,1,15,10,mi,-0.4516,-0.0691,-6.535455861070912
2021-08-02,2021-08-31,16,1,15,10,mi,0.2852,-0.0383,7.446475195822455
2021-09-01,2021-09-30,16,1,15,10,mi,-0.5293,-0.0669,-7.911808669656203
2021-10-01,2021-10-29,16,1,15,10,,-0.0031,-0.0261,-0.11877394636015325
2021-11-01,2021-11-30,17,1,15,10,mi,-0.6996,-0.0911,-7.6794731064764
2021-12-01,2021-12-31,17,1,15,10,mi,1.574,-0.0506,31.106719367588934
2022-01-03,2022-01-31,17,1,15,10,mi,0.7283,-0.051,14.280392156862744
2022-02-01,2022-02-28,16,1,15,10,,-0.0303,-0.0738,-0.41056910569105687
2022-03-01,2022-03-30,16,1,15,10,,0.9943,-0.0561,17.723707664884135
