start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,mi,0.2633,-0.0182,14.467032967032965
2017-03-01,2017-03-31,16,1,10,10,mi,-0.2158,-0.0298,-7.241610738255034
2017-04-03,2017-04-28,16,1,10,10,,-0.0691,-0.0131,-5.274809160305343
2017-05-01,2017-05-31,16,1,10,10,mi,0.0054,-0.0265,0.2037735849056604
2017-06-01,2017-06-30,16,1,15,10,mi,0.0601,-0.0189,3.17989417989418
2017-07-03,2017-07-31,16,1,15,10,mi,0.1211,-0.0286,4.234265734265734
2017-08-01,2017-08-31,16,1,10,10,,-0.3366,-0.0466,-7.223175965665236
2017-09-01,2017-09-29,16,1,10,10,mi,0.1424,-0.0109,13.064220183486238
2017-10-02,2017-10-31,16,1,10,10,,0.1606,-0.0212,7.5754716981132075
2017-11-01,2017-11-30,16,1,10,10,mi,0.2599,-0.0199,13.06030150753769
2017-12-01,2017-12-29,16,1,10,10,mi,-0.0386,-0.0189,-2.0423280423280423
2018-01-02,2018-01-31,17,1,10,10,mi,0.8096,-0.0183,44.240437158469945
2018-02-01,2018-02-28,17,1,15,10,mi,-0.5247,-0.0666,-7.878378378378378
2018-03-01,2018-03-29,17,1,10,10,mi,0.052,-0.0521,0.9980806142034548
2018-04-02,2018-04-30,16,1,15,10,,0.5556,-0.1028,5.4046692607003886
2018-05-01,2018-05-31,16,1,10,10,mi,0.3318,-0.0289,11.480968858131488
2018-06-01,2018-06-29,16,1,10,10,,0.1139,-0.0347,3.282420749279539
2018-07-02,2018-07-31,17,1,15,10,mi,0.181,-0.0294,6.156462585034014
2018-08-01,2018-08-31,16,1,10,10,mi,-0.1134,-0.0301,-3.7674418604651163
2018-09-04,2018-09-28,17,1,10,10,mi,0.257,-0.0114,22.54385964912281
2018-10-01,2018-10-31,17,1,10,10,mi,-0.5984,-0.1003,-5.966101694915254
2018-11-01,2018-11-30,16,1,10,10,mi,-0.4615,-0.0944,-4.888771186440678
2018-12-03,2018-12-31,16,1,10,10,mi,-0.7409,-0.1482,-4.9993252361673415
2019-01-02,2019-01-31,16,1,15,10,mi,2.7414,-0.0183,149.80327868852459
2019-02-01,2019-02-28,16,1,10,10,mi,0.2619,-0.0263,9.958174904942966
2019-03-01,2019-03-29,16,1,10,10,mi,-0.159,-0.0273,-5.824175824175824
2019-04-01,2019-04-30,16,1,15,10,mi,-0.1841,-0.0281,-6.551601423487545
2019-05-01,2019-05-31,17,1,10,10,mi,-0.86,-0.1653,-5.202661826981246
2019-06-03,2019-06-28,17,1,15,10,mi,2.1627,-0.0167,129.50299401197606
2019-07-01,2019-07-31,16,1,10,10,mi,-0.1306,-0.024,-5.441666666666666
2019-08-01,2019-08-30,16,1,10,10,mi,-0.5705,-0.0993,-5.745216515609265
2019-09-03,2019-09-30,16,1,15,10,mi,1.2307,-0.0276,44.59057971014492
2019-10-01,2019-10-31,16,1,15,10,mi,0.7237,-0.0246,29.41869918699187
2019-11-01,2019-11-29,16,1,10,10,,0.1205,-0.0144,8.368055555555555
2019-12-02,2019-12-31,16,1,10,10,mi,0.704,-0.014,50.285714285714285
2020-01-02,2020-01-31,16,1,10,10,mi,-0.1737,-0.0521,-3.3339731285988483
2020-02-03,2020-02-28,16,1,15,10,mi,-0.6176,-0.1055,-5.854028436018958
2020-03-02,2020-03-31,16,1,15,10,,-0.9277,-0.306,-3.0316993464052286
2020-04-01,2020-04-30,17,1,10,10,mi,8.0312,-0.0815,98.54233128834356
2020-05-01,2020-05-29,16,1,10,10,,5.1229,-0.0767,66.79139504563233
2020-06-01,2020-06-30,16,1,15,10,,0.3339,-0.1903,1.7545980031529163
2020-07-01,2020-07-31,16,1,15,10,mi,0.4876,-0.0219,22.264840182648403
2020-08-03,2020-08-31,17,1,10,10,mi,0.209,-0.042,4.976190476190475
2020-09-01,2020-09-30,16,1,15,10,mi,-0.4995,-0.0767,-6.51238591916558
2020-10-01,2020-10-30,17,1,15,10,mi,0.3417,-0.0841,4.0630202140309155
2020-11-02,2020-11-30,16,1,10,10,mi,6.9719,-0.0263,265.0912547528517
2020-12-01,2020-12-31,16,1,15,10,mi,0.9486,-0.0343,27.655976676384842
2021-01-04,2021-01-29,16,1,15,10,,0.9165,-0.0853,10.74443141852286
2021-02-01,2021-02-26,16,1,15,10,mi,2.2586,-0.0288,78.42361111111111
2021-03-01,2021-03-31,17,1,15,10,mi,1.0887,-0.0207,52.594202898550726
2021-04-01,2021-04-30,16,1,15,10,mi,-0.2472,-0.0418,-5.913875598086125
2021-05-03,2021-05-28,16,1,15,10,,0.2944,-0.0409,7.198044009779951
2021-06-01,2021-06-30,16,1,15,10,mi,1.5642,-0.0067,233.46268656716418
2021-07-01,2021-07-30,16,1,15,10,mi,-0.194,-0.0483,-4.01656314699793
2021-08-02,2021-08-31,16,1,15,10,mi,0.7183,-0.0687,10.455604075691413
2021-09-01,2021-09-30,16,1,15,10,,-0.1366,-0.0479,-2.851774530271399
2021-10-01,2021-10-29,16,1,15,10,mi,1.0689,-0.0141,75.80851063829788
2021-11-01,2021-11-30,17,1,15,10,mi,-0.3143,-0.0569,-5.523725834797892
2021-12-01,2021-12-31,16,1,15,10,mi,1.2438,-0.0692,17.97398843930636
2022-01-03,2022-01-31,16,1,15,10,mi,-0.4796,-0.0786,-6.101781170483461
2022-02-01,2022-02-28,16,1,15,10,,-0.2897,-0.0646,-4.484520123839009
2022-03-01,2022-03-30,16,1,15,10,,0.9943,-0.0561,17.723707664884135
