start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,mi,0.0124,-0.0174,0.7126436781609196
2017-03-01,2017-03-31,16,1,10,10,mi,-0.4389,-0.0492,-8.920731707317072
2017-04-03,2017-04-28,16,1,10,10,mi,0.2913,-0.0077,37.83116883116883
2017-05-01,2017-05-31,16,1,15,10,mi,-0.3325,-0.0536,-6.203358208955224
2017-06-01,2017-06-30,16,1,10,10,mi,-0.0183,-0.0317,-0.5772870662460569
2017-07-03,2017-07-31,16,1,15,10,mi,-0.0428,-0.0241,-1.7759336099585061
2017-08-01,2017-08-31,16,1,15,10,mi,-0.525,-0.0647,-8.114374034003092
2017-09-01,2017-09-29,16,1,10,10,mi,0.4282,-0.0223,19.201793721973093
2017-10-02,2017-10-31,16,1,10,10,mi,-0.3307,-0.0365,-9.06027397260274
2017-11-01,2017-11-30,16,1,15,10,mi,0.9436,-0.0127,74.2992125984252
2017-12-01,2017-12-29,16,1,15,10,mi,0.0221,-0.0153,1.4444444444444446
2018-01-02,2018-01-31,16,1,10,10,mi,-0.4497,-0.0555,-8.102702702702702
2018-02-01,2018-02-28,16,1,10,10,mi,-0.594,-0.0645,-9.209302325581394
2018-03-01,2018-03-29,16,1,15,10,mi,-0.0021,-0.0654,-0.03211009174311926
2018-04-02,2018-04-30,16,1,15,10,mi,0.574,-0.0322,17.82608695652174
2018-05-01,2018-05-31,16,1,10,10,mi,0.152,-0.0179,8.491620111731844
2018-06-01,2018-06-29,16,1,15,10,mi,0.1665,-0.022,7.568181818181819
2018-07-02,2018-07-31,16,1,10,10,mi,-0.2388,-0.0531,-4.497175141242938
2018-08-01,2018-08-31,16,1,15,10,mi,-0.2522,-0.0414,-6.091787439613526
2018-09-04,2018-09-28,16,1,15,10,mi,-0.0742,-0.019,-3.905263157894737
2018-10-01,2018-10-31,16,1,15,10,mi,-0.705,-0.1387,-5.082912761355444
2018-11-01,2018-11-30,16,1,15,10,mi,-0.1096,-0.0492,-2.227642276422764
2018-12-03,2018-12-31,16,1,15,10,mi,-0.7741,-0.1644,-4.708637469586375
2019-01-02,2019-01-31,16,1,10,10,,1.8873,-0.0231,81.7012987012987
2019-02-01,2019-02-28,16,1,15,10,,0.2713,-0.018,15.072222222222223
2019-03-01,2019-03-29,17,1,15,10,mi,-0.4576,-0.0764,-5.989528795811519
2019-04-01,2019-04-30,16,1,10,10,mi,0.1099,-0.0285,3.856140350877193
2019-05-01,2019-05-31,16,1,10,10,mi,-0.7156,-0.1068,-6.700374531835206
2019-06-03,2019-06-28,17,1,10,10,mi,2.291,-0.0174,131.66666666666669
2019-07-01,2019-07-31,16,1,10,10,mi,-0.1978,-0.0357,-5.540616246498599
2019-08-01,2019-08-30,16,1,15,10,mi,-0.7377,-0.1295,-5.696525096525097
2019-09-03,2019-09-30,16,1,15,10,mi,0.5455,-0.0591,9.230118443316412
2019-10-01,2019-10-31,17,1,10,10,mi,0.7912,-0.0257,30.785992217898833
2019-11-01,2019-11-29,16,1,15,10,mi,0.0037,-0.0325,0.11384615384615385
2019-12-02,2019-12-31,16,1,10,10,mi,0.6279,-0.0238,26.38235294117647
2020-01-02,2020-01-31,16,1,15,10,mi,-0.0693,-0.0399,-1.736842105263158
2020-02-03,2020-02-28,16,1,15,10,mi,-0.6477,-0.124,-5.223387096774194
2020-03-02,2020-03-31,17,1,15,10,mi,-0.9706,-0.3525,-2.753475177304965
2020-04-01,2020-04-30,16,1,10,10,mi,7.2159,-0.122,59.14672131147542
2020-05-01,2020-05-29,17,1,15,10,mi,1.8012,-0.1073,16.786579683131407
2020-06-01,2020-06-30,16,1,10,10,mi,0.4535,-0.1618,2.8028430160692213
2020-07-01,2020-07-31,16,1,15,10,mi,0.885,-0.0474,18.67088607594937
2020-08-03,2020-08-31,16,1,10,10,mi,-0.0741,-0.0635,-1.1669291338582677
2020-09-01,2020-09-30,16,1,15,10,mi,-0.2782,-0.0934,-2.978586723768737
2020-10-01,2020-10-30,16,1,10,10,mi,-0.2875,-0.0891,-3.226711560044893
2020-11-02,2020-11-30,16,1,15,10,mi,2.3509,-0.0322,73.00931677018635
2020-12-01,2020-12-31,16,1,10,10,mi,0.5591,-0.0927,6.031283710895361
2021-01-04,2021-01-29,16,1,10,10,mi,0.137,-0.0594,2.3063973063973067
2021-02-01,2021-02-26,16,1,15,10,mi,-0.6539,-0.0799,-8.183979974968711
2021-03-01,2021-03-31,16,1,15,10,mi,0.478,-0.0387,12.351421188630491
2021-04-01,2021-04-30,16,1,15,10,mi,-0.2483,-0.0333,-7.456456456456456
2021-05-03,2021-05-28,16,1,15,10,mi,-0.0568,-0.0274,-2.072992700729927
2021-06-01,2021-06-30,16,1,15,10,mi,-0.165,-0.0339,-4.867256637168142
2021-07-01,2021-07-30,16,1,10,10,mi,-0.3063,-0.0308,-9.944805194805195
2021-08-02,2021-08-31,16,1,10,10,mi,-0.3475,-0.0391,-8.887468030690536
2021-09-01,2021-09-30,16,1,10,10,mi,-0.6067,-0.0775,-7.828387096774194
2021-10-01,2021-10-29,17,1,15,10,mi,0.9299,-0.0159,58.48427672955974
2021-11-01,2021-11-30,16,1,10,10,mi,-0.7189,-0.0959,-7.4963503649635035
2021-12-01,2021-12-31,16,1,15,10,mi,1.1456,-0.0462,24.796536796536795
2022-01-03,2022-01-31,16,1,10,10,mi,-0.6264,-0.1254,-4.995215311004784
2022-02-01,2022-02-28,16,1,10,10,mi,-0.4738,-0.0942,-5.0297239915074305
2022-03-01,2022-03-30,16,1,15,10,mi,0.5714,-0.0588,9.717687074829932
