,current_combo,valid_train_start_date, valid_train_end_date,valid_end_date,oos_square
2340,"(17, 1, 10, 10, 'mi')",2004-11-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,0.3815126050420168
2341,"(17, 1, 10, 10, 'mi')",2006-03-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,0.5147313691507799
2342,"(17, 1, 10, 10, 'mi')",2007-07-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,0.3939393939393939
2343,"(17, 1, 10, 10, 'mi')",2008-11-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,-1.161172161172161
2344,"(17, 1, 10, 10, 'mi')",2011-10-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,-0.0546875
2345,"(17, 1, 10, 10, '')",2004-11-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,0.35462184873949576
2346,"(17, 1, 10, 10, '')",2006-03-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,0.48006932409012126
2347,"(17, 1, 10, 10, '')",2007-07-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,0.3796791443850267
2348,"(17, 1, 10, 10, '')",2008-11-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,-1.5567765567765566
2349,"(17, 1, 10, 10, '')",2011-10-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,-0.25
2350,"(17, 1, 15, 10, 'mi')",2004-11-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,0.7906542056074766
2351,"(17, 1, 15, 10, 'mi')",2005-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,0.0037453183520599342
2352,"(17, 1, 15, 10, 'mi')",2005-07-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,0.43726235741444863
2353,"(17, 1, 15, 10, 'mi')",2005-11-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,0.005736137667303964
2354,"(17, 1, 15, 10, 'mi')",2006-10-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,-0.1796875
2355,"(17, 1, 15, 10, '')",2004-11-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,0.7981308411214953
2356,"(17, 1, 15, 10, '')",2005-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,-0.011235955056179803
2357,"(17, 1, 15, 10, '')",2005-07-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,0.42205323193916355
2358,"(17, 1, 15, 10, '')",2005-11-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,-0.10133843212237093
