,best_combo,train_start_date,actual_train_end_date,pred_date,max_mean_oos_square
52,"(16, 1, 15, 10, 'mi')",2005-05-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,1
53,"(16, 1, 10, 10, '')",2005-06-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,1
54,"(16, 1, 10, 10, 'mi')",2005-07-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,1
55,"(16, 1, 15, 10, '')",2005-08-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,1
56,"(16, 1, 10, 10, 'mi')",2005-09-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,1
57,"(17, 1, 10, 10, 'mi')",2004-10-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,1
58,"(17, 1, 10, 10, 'mi')",2004-11-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,1
59,"(16, 1, 10, 10, '')",2005-12-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,1
60,"(16, 1, 10, 10, 'mi')",2006-01-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,1
61,"(16, 1, 10, 10, 'mi')",2006-02-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,1
