start date,end date,train_valid_period(years),test_period(months),train_period(years),topk,feature_selection,Annual Return,MDD,Calmar Ratio
2017-02-01,2017-02-28,16,1,10,10,,0.2423,-0.0149,16.26174496644295
2017-03-01,2017-03-31,17,1,10,10,mi,-0.1652,-0.033,-5.006060606060606
2017-04-03,2017-04-28,16,1,10,10,mi,-0.0691,-0.0131,-5.274809160305343
2017-05-01,2017-05-31,16,1,15,10,,0.4879,-0.0216,22.587962962962962
2017-06-01,2017-06-30,16,1,10,10,mi,0.0601,-0.0189,3.17989417989418
2017-07-03,2017-07-31,16,1,10,10,,0.0256,-0.03,0.8533333333333334
2017-08-01,2017-08-31,16,1,10,10,,-0.1279,-0.0361,-3.542936288088643
2017-09-01,2017-09-29,16,1,10,10,mi,0.1424,-0.0109,13.064220183486238
2017-10-02,2017-10-31,16,1,10,10,mi,0.1606,-0.0212,7.5754716981132075
2017-11-01,2017-11-30,17,1,10,10,mi,0.3308,-0.0289,11.44636678200692
2017-12-01,2017-12-29,16,1,15,10,,0.2676,-0.0063,42.476190476190474
2018-01-02,2018-01-31,16,1,15,10,,0.3836,-0.03,12.786666666666667
2018-02-01,2018-02-28,16,1,10,10,mi,-0.5247,-0.0666,-7.878378378378378
2018-03-01,2018-03-29,16,1,15,10,,-0.0729,-0.0529,-1.3780718336483933
2018-04-02,2018-04-30,16,1,10,10,mi,0.4051,-0.0502,8.069721115537849
2018-05-01,2018-05-31,16,1,15,10,mi,0.3318,-0.0289,11.480968858131488
2018-06-01,2018-06-29,16,1,10,10,mi,0.13,-0.0378,3.439153439153439
2018-07-02,2018-07-31,16,1,15,10,mi,0.181,-0.0294,6.156462585034014
2018-08-01,2018-08-31,16,1,15,10,,-0.1331,-0.0382,-3.4842931937172774
2018-09-04,2018-09-28,16,1,10,10,mi,0.257,-0.0114,22.54385964912281
2018-10-01,2018-10-31,16,1,10,10,mi,-0.5984,-0.1003,-5.966101694915254
2018-11-01,2018-11-30,16,1,10,10,mi,1.0281,-0.0395,26.02784810126582
2018-12-03,2018-12-31,16,1,10,10,mi,-0.7409,-0.1482,-4.9993252361673415
2019-01-02,2019-01-31,16,1,10,10,mi,1.3468,-0.0192,70.14583333333334
2019-02-01,2019-02-28,16,1,10,10,,0.4645,-0.0136,34.154411764705884
2019-03-01,2019-03-29,17,1,10,10,mi,-0.0262,-0.028,-0.9357142857142857
2019-04-01,2019-04-30,16,1,15,10,mi,-0.1841,-0.0281,-6.551601423487545
2019-05-01,2019-05-31,16,1,15,10,mi,-0.7342,-0.1141,-6.434706397896582
2019-06-03,2019-06-28,16,1,15,10,mi,2.1627,-0.0167,129.50299401197606
2019-07-01,2019-07-31,16,1,10,10,mi,-0.0181,-0.0151,-1.1986754966887418
2019-08-01,2019-08-30,16,1,10,10,mi,-0.2223,-0.0436,-5.098623853211009
2019-09-03,2019-09-30,16,1,10,10,mi,0.4634,-0.0425,10.903529411764705
2019-10-01,2019-10-31,17,1,15,10,mi,1.672,-0.0244,68.52459016393442
2019-11-01,2019-11-29,16,1,10,10,mi,0.1205,-0.0144,8.368055555555555
2019-12-02,2019-12-31,16,1,15,10,,0.6565,-0.0145,45.275862068965516
2020-01-02,2020-01-31,16,1,10,10,mi,-0.1737,-0.0521,-3.3339731285988483
2020-02-03,2020-02-28,16,1,15,10,mi,-0.7011,-0.1496,-4.686497326203208
2020-03-02,2020-03-31,17,1,15,10,mi,-0.7943,-0.2523,-3.148236226714229
2020-04-01,2020-04-30,16,1,15,10,,4.3415,-0.0899,48.29254727474972
2020-05-01,2020-05-29,16,1,10,10,mi,3.1239,-0.0431,72.48027842227378
2020-06-01,2020-06-30,16,1,15,10,mi,0.7973,-0.0683,11.67349926793558
2020-07-01,2020-07-31,16,1,15,10,mi,2.3572,-0.0258,91.36434108527132
2020-08-03,2020-08-31,16,1,15,10,mi,0.209,-0.042,4.976190476190475
2020-09-01,2020-09-30,17,1,15,10,mi,-0.4236,-0.1065,-3.9774647887323944
2020-10-01,2020-10-30,16,1,10,10,mi,0.0399,-0.0689,0.5791001451378809
2020-11-02,2020-11-30,16,1,15,10,,7.4172,-0.0437,169.7299771167048
2020-12-01,2020-12-31,16,1,15,10,,0.3358,-0.1205,2.7867219917012447
2021-01-04,2021-01-29,16,1,10,10,,0.2741,-0.0878,3.121867881548975
2021-02-01,2021-02-26,16,1,10,10,,1.4379,-0.0308,46.68506493506493
2021-03-01,2021-03-31,16,1,15,10,mi,1.0887,-0.0207,52.594202898550726
2021-04-01,2021-04-30,16,1,15,10,mi,0.877,-0.0102,85.98039215686273
2021-05-03,2021-05-28,16,1,15,10,mi,0.2932,-0.0299,9.806020066889634
2021-06-01,2021-06-30,16,1,15,10,mi,-0.1111,-0.043,-2.5837209302325586
2021-07-01,2021-07-30,17,1,15,10,mi,-0.194,-0.0483,-4.01656314699793
2021-08-02,2021-08-31,16,1,15,10,mi,0.4667,-0.0549,8.500910746812387
2021-09-01,2021-09-30,16,1,10,10,,-0.3182,-0.0373,-8.53083109919571
2021-10-01,2021-10-29,16,1,15,10,mi,0.8354,-0.023,36.321739130434786
2021-11-01,2021-11-30,16,1,15,10,mi,-0.77,-0.1102,-6.987295825771325
2021-12-01,2021-12-31,16,1,15,10,mi,0.7272,-0.0475,15.309473684210525
2022-01-03,2022-01-31,16,1,15,10,,-0.5289,-0.0976,-5.419057377049181
2022-02-01,2022-02-28,16,1,15,10,mi,-0.1013,-0.0917,-1.1046892039258451
2022-03-01,2022-03-30,16,1,15,10,mi,1.3157,-0.0609,21.604269293924467
